City,ID,Country,Region,Remapped Category,Title - value,Establishment,Description,Address,Source_ID,Coordinates,Google_place_id
Athens,A0020,Greece,Southern Europe,Attraction,Acropolis rooftop cinema experience,Cine Paris,Outdoor rooftop cinema with a direct view of the Acropolis; reopens May.,Kidathineon 22 105 58 Athina[7],,,"=AI(""find the google_place_id of Cine Paris, Athens."")"
Dakar,A0084,Senegal,Emerging & Eastern,Hotel,Relax in Dakar's cool design.,Boma Lifestyle Hotel,Cool,design-centric hotel with a pool scene in N'Gor.,Route de l'Aéroport N'Gor Dakar[19],,ChIJq55mJt9WVkYRW17rYl5YhBw
Barcelona,A0031,Spain,Southern Europe,Visits,Best 360-degree sunset views,Bunkers del Carmel,Former anti-aircraft battery offering the best 360-degree sunset views.,Carrer de la Gran Vista 20 08032 Barcelona,,"41.41379 N, 2.16431 E",
Istanbul,A0122,Turkey,Emerging & Eastern,Hotel,Stay in historic French school.,Ecole St. Pierre Hotel,Boutique stay in a historic 19th-century French school in Galata.,Galata Kulesi Sk. No:14 34420 Beyoğlu/İstanbul[18],,,ChIJq55mJt9WVkYRW17rYl5YhBw
Istanbul,A0123,Turkey,Emerging & Eastern,Restaurants,Modern Anatolian fine dining,Seraf Vadi,Refined Anatolian cuisine in a modern setting.,Vadi Istanbul,[24],,
Rome,A0273,Italy,Southern Europe,Hotel,Bulgari Rome 2025 opening.,Bulgari Hotel Roma,New 2024/2025 opening in Campo Marzio; sheer Italian excess and design.,Piazza Augusto Imperatore 10 00186 Roma,,"41.90799 N, 12.47702 E",ChIJX92-J9BvGxMRR2QxQ_n8Y5c
Rome,A0274,Italy,Southern Europe,Hotel,Six Senses Rome,Six Senses Rome,Urban wellness sanctuary in a restored palazzo; opened recently.,Piazza di S. Marcello 00187 Roma,,,ChIJC25P6-J3GxMRA_F9u3A3U44
Rome,A0279,Italy,Southern Europe,Activity,Explore ancient Roman villa ruins.,Appia Antica / Quintili’s Villa,Ancient ruins away from the crowds.,Via Appia Nuova 1092 00178 Roma,[10],,
Stockholm,A0280,Sweden,Central Europe,Museum,"See future photo exhibit, dine late.",Fotografiska,2025 headliner 'Nature/Future'; open late with an award-winning restaurant.,Stadsgårdshamnen 22 116 45 Stockholm,,,
Edinburgh,A0109,UK,Western Europe,Hotel,Check in at unique hotel,100 Princes Street,Ultra-exclusive townhouse inspired by Alexander McQueen; opened 2025.,100 Princes St Edinburgh EH2 3AB,,,ChIJq5rM39TBUkYRDlCj_j051I8
Berlin,A0045,Germany,Central Europe,Visits,Cycle Tempelhofer Feld runways.,Tempelhofer Feld,Walk or cycle on the runways of the abandoned airport.,Tempelhofer Damm 12101 Berlin,,,Generating the value from the AI function is not supported. Please use the Gemini side panel instead.
